previous_status,next_status,previous_position,finality,era,n,probability
DNS,DNS,2,nonfinal,2010-2019,83,0.49700598802395207
DNS,DNS,2,nonfinal,2020+,68,0.8292682926829268
DNS,DNS,2,nonfinal,pre2010,14,0.7368421052631579
DNS,DNS,3,final,2010-2019,11,0.8461538461538461
DNS,DNS,3,final,2020+,30,0.9375
DNS,DNS,3,final,pre2010,4,0.8
DNS,DNS,3,nonfinal,2010-2019,273,0.8452012383900929
DNS,DNS,3,nonfinal,2020+,243,0.9604743083003953
DNS,DNS,3,nonfinal,pre2010,49,0.9074074074074074
DNS,DNS,4,final,2010-2019,29,0.9354838709677419
DNS,DNS,4,final,2020+,61,0.9838709677419355
DNS,DNS,4,final,pre2010,4,1.0
DNS,DNS,4,nonfinal,2010-2019,444,0.896969696969697
DNS,DNS,4,nonfinal,2020+,441,0.984375
DNS,DNS,4,nonfinal,pre2010,69,0.971830985915493
DNS,VALID,1,final,2010-2019,2,1.0
DNS,VALID,1,nonfinal,2010-2019,85,0.9239130434782609
DNS,VALID,1,nonfinal,2020+,7,1.0
DNS,VALID,1,nonfinal,pre2010,11,0.8461538461538461
DNS,VALID,2,final,2010-2019,2,0.3333333333333333
DNS,VALID,2,nonfinal,2010-2019,79,0.47305389221556887
DNS,VALID,2,nonfinal,2020+,13,0.15853658536585366
DNS,VALID,2,nonfinal,pre2010,5,0.2631578947368421
DNS,VALID,3,final,2010-2019,2,0.15384615384615385
DNS,VALID,3,final,2020+,2,0.0625
DNS,VALID,3,final,pre2010,1,0.2
DNS,VALID,3,nonfinal,2010-2019,49,0.15170278637770898
DNS,VALID,3,nonfinal,2020+,10,0.039525691699604744
DNS,VALID,3,nonfinal,pre2010,4,0.07407407407407407
DNS,VALID,4,final,2010-2019,2,0.06451612903225806
DNS,VALID,4,final,2020+,1,0.016129032258064516
DNS,VALID,4,nonfinal,2010-2019,48,0.09696969696969697
DNS,VALID,4,nonfinal,2020+,6,0.013392857142857142
DNS,VALID,4,nonfinal,pre2010,2,0.028169014084507043
VALID,DNF,1,final,2010-2019,1026,0.013808882907133243
VALID,DNF,1,final,2020+,1902,0.013400972310293807
VALID,DNF,1,final,pre2010,59,0.01398435648257881
VALID,DNF,1,nonfinal,2010-2019,13411,0.022618413152444495
VALID,DNF,1,nonfinal,2020+,17802,0.01808833839682169
VALID,DNF,1,nonfinal,pre2010,565,0.024112325025606007
VALID,DNF,2,final,2010-2019,1074,0.014462698626447617
VALID,DNF,2,final,2020+,1986,0.0139997180318624
VALID,DNF,2,final,pre2010,55,0.01307655729909653
VALID,DNF,2,nonfinal,2010-2019,12902,0.02180238944184396
VALID,DNF,2,nonfinal,2020+,18010,0.018314347832276777
VALID,DNF,2,nonfinal,pre2010,551,0.024422676299809407
VALID,DNF,3,final,2010-2019,1125,0.015163155553758441
VALID,DNF,3,final,2020+,2104,0.014847223202314587
VALID,DNF,3,final,pre2010,51,0.012186379928315413
VALID,DNF,3,nonfinal,2010-2019,12628,0.02135506946147277
VALID,DNF,3,nonfinal,2020+,17554,0.017856107482496355
VALID,DNF,3,nonfinal,pre2010,440,0.02181890310423485
VALID,DNF,4,final,2010-2019,1463,0.019739327540612014
VALID,DNF,4,final,2020+,2861,0.020214795449727974
VALID,DNF,4,final,pre2010,89,0.02124612079255192
VALID,DNF,4,nonfinal,2010-2019,13782,0.023300832993790165
VALID,DNF,4,nonfinal,2020+,20601,0.020949835714481838
VALID,DNF,4,nonfinal,pre2010,530,0.02626883425852498
VALID,DNF,7,final,2020+,1,0.012048192771084338
VALID,DNF,8,final,2020+,2,0.02564102564102564
VALID,DNF,9,final,2020+,2,0.028169014084507043
VALID,DNF,10,final,2020+,2,0.028985507246376812
VALID,DNF,12,final,2020+,2,0.029411764705882353
VALID,DNF,15,final,2020+,1,0.017543859649122806
VALID,DNF,16,final,2020+,2,0.03773584905660377
VALID,DNF,17,final,2020+,1,0.020833333333333332
VALID,DNF,20,final,2020+,2,0.05263157894736842
VALID,DNF,22,final,2020+,2,0.07142857142857142
VALID,DNF,26,final,2020+,1,0.058823529411764705
VALID,DNF,29,final,2020+,1,0.25
VALID,DNS,1,final,2010-2019,5,6.729475100942126e-05
VALID,DNS,1,final,2020+,3,2.113718030014796e-05
VALID,DNS,1,nonfinal,2010-2019,123,0.0002074464855529545
VALID,DNS,1,nonfinal,2020+,41,4.1659469400611685e-05
VALID,DNS,1,nonfinal,pre2010,15,0.0006401502219187436
VALID,DNS,2,final,2010-2019,5,6.733099919202801e-05
